date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:29	76957/76957	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:28%20GMT	https://www.2gethr.xyz/	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/index.html	(from )
15:42:30	84/84	---M-Z	200	added ('OK')	text/plain	date:Tue,%2030%20May%202023%2010:12:29%20GMT	https://www.2gethr.xyz/robots.txt		(from )
15:42:31	337730/337730	---M-Z	200	added ('OK')	text/css	etag:%22d6eb6765b8fb59a41688f121c2e5499b%22	https://uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/css/2gethr-website.webflow.ec2984aba.min.css	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/css/2gethr-website.webflow.ec2984aba.min.css	(from https://www.2gethr.xyz/)
15:42:31	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/2gether/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.2gethr.xyz/)
15:42:32	1334/1334	---M--	200	added ('OK')	image/jpeg	etag:%220808976d0a75d051a3fe0bf502ac97dc%22	https://uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/5ddeabb3a56dd06be2058128_2gethr_%20Favicon_32x32.jpg	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/5ddeabb3a56dd06be2058128_2gethr_%20Favicon_32x32.jpg	(from https://www.2gethr.xyz/)
15:42:34	7438/7438	---M--	200	added ('OK')	image/jpeg	etag:%22c4c730b1cddc1c1af6027bb92fb27a74%22	https://uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/5ddeabf7cf00bd63099e363b_2gethr_Logo_%20256x%20256.jpg	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/5ddeabf7cf00bd63099e363b_2gethr_Logo_%20256x%20256.jpg	(from https://www.2gethr.xyz/)
15:42:35	5375/5375	---M-Z	200	added ('OK')	application/javascript	etag:W/%2214ff-q7xh1VgSlx+eyUpQoW7zORm2j3o%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmscombine@1/cmscombine.js	C:/My%20Web%20Sites/2gether/cdn.jsdelivr.net/npm/@finsweet/attributes-cmscombine@1/cmscombine.js	(from https://www.2gethr.xyz/)
15:42:35	55710/55710	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:34%20GMT	https://www.2gethr.xyz/managed-office	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/managed-office.html	(from https://www.2gethr.xyz/)
15:42:36	90444/90444	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:35%20GMT	https://www.2gethr.xyz/coworking	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/coworking.html	(from https://www.2gethr.xyz/)
15:42:36	88430/88430	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:35%20GMT	https://www.2gethr.xyz/blogs	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/blogs.html	(from https://www.2gethr.xyz/)
15:42:37	42429/42429	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:36%20GMT	https://www.2gethr.xyz/brokers	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/brokers.html	(from https://www.2gethr.xyz/)
15:42:37	44928/44928	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:36%20GMT	https://www.2gethr.xyz/events	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/events.html	(from https://www.2gethr.xyz/)
15:42:37	18812/18812	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:36%20GMT	https://www.2gethr.xyz/post/light-at-work-a-guide-to-lighting-at-2gethr-orr	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/post/light-at-work-a-guide-to-lighting-at-2gethr-orr.html	(from https://www.2gethr.xyz/)
15:42:38	19511/19511	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:37%20GMT	https://www.2gethr.xyz/post/people-first-work-cultures-the-dream-scenario	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/post/people-first-work-cultures-the-dream-scenario.html	(from https://www.2gethr.xyz/)
15:42:39	13263/13263	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2010:12:38%20GMT	https://www.2gethr.xyz/schedule-a-visit	C:/My%20Web%20Sites/2gether/www.2gethr.xyz/schedule-a-visit.html	(from https://www.2gethr.xyz/)
15:42:39	616119/616119	---M--	200	added ('OK')	image/jpeg	etag:%22ac9207c44bdcf2de85508b01692e7a89%22	https://uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/632d9607177e4930cf2b42b5_631b564da304e948b475a86d_20-p-2000.jpg	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/632d9607177e4930cf2b42b5_631b564da304e948b475a86d_20-p-2000.jpg	(from https://www.2gethr.xyz/)
15:42:40	990925/990925	---M--	200	added ('OK')	image/jpeg	etag:%222789888693d0f37c313e0d567e7efaa2%22	https://uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/6306155e26f4bbc27badaaed_sssss.jpg	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/5d9f64ed50ffcbe80454e690/6306155e26f4bbc27badaaed_sssss.jpg	(from https://www.2gethr.xyz/)
15:42:40	3072/3072	---M--	200	added ('OK')	image/png	etag:%22a72ca17bd3dace449ef7f3ff1644bdfc%22	https://uploads-ssl.webflow.com/632183d1f8aee13b41e98c40/6321a83376706811b25940ef_6310e44ea9034ba16821c0a3_Group%2027.png	C:/My%20Web%20Sites/2gether/uploads-ssl.webflow.com/632183d1f8aee13b41e98c40/6321a83376706811b25940ef_6310e44ea9034ba16821c0a3_Group%2027.png	(from https://www.2gethr.xyz/)
